,date,unique_sessions,spend_time_max,spend_time_min,spend_time_mean,spend_time_sum,notification_mean,notification_sum,battery_max,battery_min,battery_mean,battery_delta,UserID,Better_category_Phone,Better_category_Drawing,Better_category_Mechanical_Turk,Better_category_Family_Planning,Better_category_Messages,Better_category_Video_Players_&_Editors,Better_category_Security,Better_category_Food_&_Drinks,Better_category_Document_Editor,Better_category_Weather,Better_category_Business_Management,Better_category_Medical,Better_category_House_Search,Better_category_Phone_Assistant,Better_category_Personal_Finance,Better_category_Book_Readers,Better_category_Streaming_Services,Better_category_Background_Process,Better_category_Time_Tracker,Better_category_Travel_Planning,Better_category_Sports,Better_category_Dating,Better_category_Phone_Personalization,Better_category_Music_&_Audio,Better_category_Messaging,Better_category_Education,Better_category_Personal_Fitness,Better_category_Remote_Administration,Better_category_Email,Better_category_Dialer,Better_category_To-Do_List,Better_category_Game_Singleplayer,Better_category_Wearables,Better_category_Calendar,Better_category_Camera,Better_category_Instant_Messaging,Better_category_Maps,Better_category_Portfolio/Trading,Better_category_Social_Networking,Better_category_Phone_Tools,Better_category_Internet_Browser,Better_category_Game_Multiplayer,Better_category_Entertainment,Better_category_Auto_&_Vehicles,Better_category_News,Better_category_Phone_Optimization,Better_category_Home_Automation,Better_category_Job_Search,Better_category_Online_Shopping,Better_category_Coupons,Date,F_average,F_binary
0,2020-02-03,26,12.073216666666667,0.00021666666666666666,1.3844416666666668,80.29761666666667,0.1896551724137931,11,100.0,53.0,86.20689655172414,47.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,4,0,0,8,1,2,0,0,0,0,0,0,0,0,0,2020-02-03,4.333333333333333,1
1,2020-02-04,38,14.57255,0.0007833333333333334,1.349243137254902,137.6228,0.06862745098039216,7,74.0,38.0,56.833333333333336,36.0,14981,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,8,4,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,4,8,1,0,9,2,16,0,0,0,0,0,0,0,0,0,2020-02-04,4.733333333333333,1
2,2020-02-05,25,20.002716666666668,6.666666666666667e-05,1.3766871794871793,125.27853333333333,0.054945054945054944,5,100.0,33.0,79.14285714285714,67.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,4,10,0,15,4,13,0,0,0,0,0,0,0,0,0,2020-02-05,4.6,1
3,2020-02-06,25,14.564533333333333,8.333333333333333e-05,1.3499905063291138,106.64925,0.10126582278481013,8,100.0,39.0,59.25316455696203,61.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,7,0,0,15,0,11,0,0,0,0,0,0,0,0,0,2020-02-06,5.0,1
4,2020-02-07,46,33.623666666666665,0.00013333333333333334,1.549004134366925,199.82153333333332,0.13178294573643412,17,94.0,47.0,69.89922480620154,47.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,1,12,0,0,25,4,11,0,1,0,0,0,0,0,0,0,2020-02-07,4.866666666666666,1
5,2020-02-08,18,12.871633333333333,0.00046666666666666666,1.235953125,79.101,0.109375,7,93.0,34.0,64.78125,59.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,2,0,0,7,1,15,0,0,0,0,0,0,0,0,0,2020-02-08,3.9333333333333336,0
6,2020-02-09,22,13.738816666666667,0.00085,1.9833623456790124,107.10156666666667,0.09259259259259259,5,78.0,51.0,63.48148148148148,27.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,10,4,12,0,0,0,0,0,0,0,0,0,2020-02-09,4.6,1
7,2020-02-10,33,7.4047833333333335,0.00013333333333333334,0.8483232600732601,77.19741666666667,0.07692307692307693,7,100.0,42.0,72.68131868131869,58.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,19,9,0,0,0,0,0,12,0,0,13,0,17,0,0,0,0,0,0,0,0,0,2020-02-10,4.8,1
8,2020-02-11,24,11.782683333333333,0.00025,1.3748944444444444,103.11708333333333,0.013333333333333334,1,79.0,44.0,58.49333333333333,35.0,14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,11,0,0,0,0,0,0,1,0,0,0,16,3,0,0,0,0,0,7,0,0,6,0,3,0,0,0,0,0,0,0,0,0,2020-02-11,4.733333333333333,1
9,2020-02-12,33,17.301066666666667,0.0026333333333333334,1.6888898148148148,182.4001,0.08333333333333333,9,100.0,34.0,76.69444444444444,66.0,14981,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,11,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,28,2,17,0,0,0,0,0,0,0,0,0,2020-02-12,4.733333333333333,1
